Likes,Dislikes,Views,Comments,Title,Category_id,Date,Tags
116,6,20637,0,"Doanh nghiệp BĐS tặng, giảm giá thuê mặt bằng | VTV24",News & Politics,2020-03-10T05:15:00Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'giá thuê mặt bằng', 'mặt bằng ế ẩm', 'giảm giá thuê', 'mặt bằng đắt đỏ']"
59,2,11976,0,"Những dấu hỏi trong vụ ""bán đấu giá Khu dân cư Hòa Lân"", Bình Dương| VTV24",News & Politics,2020-03-10T05:00:05Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'khu dân cư hòa lân', 'bán đấu giá', 'phát mãi tài sản', 'tài sản thế chấp']"
478,42,109533,0,"Giá dầu, chứng khoán, và những ""cuộc chiến"" trên trường kinh tế | VTV24",News & Politics,2020-03-10T02:47:25Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'giá dầu', 'dầu mỏ', 'xuất khẩu dầu', 'nga', 'opec', 'đỏ sàn']"
154,3,30009,0,"Thị trường choáng váng trước ""cú rơi"" của chứng khoán Mỹ | VTV24",News & Politics,2020-03-10T02:45:22Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'chứng khoán đỏ sàn', 'chứng khoán rớt kỷ lục', 'sàn giao dịch']"
403,12,42154,0,Đồng hành là giúp chính mình - Người dân nên làm gì trong mùa dịch? | VTV24,News & Politics,2020-03-10T00:30:00Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'chống dịch', 'việt nam hôm nay', 'Việt Nam', 'đồng hành là giúp chính mình', 'người dân nên l']"
2028,132,296718,0,Toàn cảnh phòng chống dịch COVID-19 ngày 9/3/2020 | VTV24,News & Politics,2020-03-09T14:45:10Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'Toàn cảnh phòng chống dịch COVID-19', 'Toàn cảnh phòng chống dịch COVID-19 ngày 9/3/2020', 'Toàn cảnh', 'phòng chống dịch COVID-19', 'COVID-19 mới nhất', 'tổng hợp COVID-19 mới nhất', 'tổng hợp COVID-19 hôm nay', 'toàn cảnh COVID-19 hôm nay', '9/3/2020', 'COVID-19']"
81,6,11885,0,Rủi ro mua đấu giá tài sản thế chấp ngân hàng | VTV24,News & Politics,2020-03-09T13:30:02Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'thế chấp ngân hàng', 'vay vốn ngân hàng', 'đấu giá tài sản', 'mua nhà thế chấp']"
1353,80,256809,0,Cái kết nào đang chờ Chủ tịch Nghĩa và Mai Hồng Vũ trong phim Sinh tử? | VTV24,News & Politics,2020-03-09T13:05:22Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'Sinh tử', 'NSND Hoàng Dũng', 'diễn viên Việt Anh', 'chủ tịch tỉnh Trần Nghĩa', 'Mai Hồng Vũ', 'người phán xử', 'Phan Quân', 'Phan Hải', 'thầy trò', 'cha con']"
7804,473,1364155,0,Ca thứ 31 dương tính với COVID-19 tại Việt Nam|Người đàn ông biết mắc bệnh vẫn đi Bar tại Nhật|VTV24,News & Politics,2020-03-09T12:52:26Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVID-19', 'Corona', 'COVID-19 mới nhất', 'Corona mới nhất', 'ca thứ 31 dương tính', 'Việt Nam', 'biết mắc bệnh vẫn đi bar', 'COVID-19 hôm nay', 'Ca thứ 31 mắc COVID tại Việt Nam']"
1531,76,215353,0,Thủ tướng Nguyễn Xuân Phúc: Sẽ xử lý nghiêm các trường hợp giấu bệnh | VTV24,News & Politics,2020-03-09T07:25:35Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVID-19', 'COVID-19 mới nhất', 'xử lý những người giấu bệnh', 'xử lý nghiêm những người giấu bệnh', 'giấu bệnh sẽ bị xử lý', 'thủ tướng', 'nguyễn xuân phúc', 'thủ tướng Nguyễn Xuân Phúc']"
