Likes,Dislikes,Views,Comments,Title,Category_id,Date,Tags
0,0,14,0,VTV News 8h - 30/08/2021| VTV4,People & Blogs,2021-08-30T03:20:31Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
28,3,7027,1,Bản tin thời sự tiếng Việt 21h - 29/08/2021| VTV4,People & Blogs,2021-08-29T14:59:11Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
10,2,1102,0,Tình nguyện viên Việt Nam tại Thế vận hội |2020東京大会で活動するボランティア| Japan Link 29/08/2021| VTV4,People & Blogs,2021-08-29T12:31:24Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
20,3,914,0,Đường dây nóng kết nối tình quân dân | VTV4,People & Blogs,2021-08-29T11:26:59Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
0,0,2520,0,Chàng trai Ucraina và tình yêu với thanh âm của Hà Nội | VTV4,People & Blogs,2021-08-29T09:56:57Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
35,8,2494,0,Tổ quân y cơ động cấp cứu bệnh nhân Covid-19 tại TP.HCM | VTV4,People & Blogs,2021-08-29T07:57:14Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
34,10,6725,0,Bản tin thời sự tiếng Việt 12h - 29/08/2021 | VTV4,People & Blogs,2021-08-29T05:49:18Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
25,0,2031,0,Nghệ thuật từ dây kim loại | VTV4,People & Blogs,2021-08-29T05:12:59Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
13,6,773,0,Программы на русском языке - 28/08/2021| VTV4,People & Blogs,2021-08-29T04:06:17Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
15,5,1587,0,Le Journal - 29/08/2021| VTV4,People & Blogs,2021-08-29T03:11:28Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
35,3,7248,0,Bản tin thời sự tiếng Việt 21h - 28/08/2021 | VTV4,People & Blogs,2021-08-28T15:29:26Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
20,6,8033,0,Bản tin thời sự tiếng Việt 21h - 24/08/2021 | VTV4,People & Blogs,2021-08-28T15:17:44Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
20,4,2204,0,Cô Vy ơi đi đi | VTV4,People & Blogs,2021-08-28T15:09:58Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
12,1,2125,0,今日越南 - 28/08/2021 | VTV4,People & Blogs,2021-08-28T13:49:25Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
30,2,2418,2,Đại tướng Võ Nguyên Giáp qua góc nhìn của nhà sử học Pháp| VTV4,People & Blogs,2021-08-28T12:56:07Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam', 'vo nguyen giap', 'dai tuong vo nguyen giap', 'dam tang vo nguyen giap', 'general giap', 'tuong giap']"
15,2,2062,0,"Together, we fight against the pandemic: Volunteers for the Covid-19 pandemic in Vietnam | VTV4",People & Blogs,2021-08-28T10:44:17Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
4,1,800,0,VTV News 15h - 28/08/2021 | VTV4,People & Blogs,2021-08-28T10:40:37Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
25,2,2783,0,Nhà thiết kế trẻ trở thành tình nguyện viên tuyến đầu chống dịch  | VTV4,People & Blogs,2021-08-28T09:30:10Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
29,1,1747,0,"Điểm tựa gia đình của các y, bác sĩ tuyến đầu chống dịch | VTV4",People & Blogs,2021-08-28T08:30:00Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
17,1,3348,0,Giãn cách xã hội toàn thành phố Pleiku | VTV4,People & Blogs,2021-08-28T07:30:03Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
56,19,27256,0,Bản tin thời sự tiếng Việt 12h - 28/08/2021| VTV4,People & Blogs,2021-08-28T06:34:33Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
6,1,614,0,"Chương trình “sách trao tay, học ngày giãn cách” lan tỏa tinh thần tích cực | VTV4",People & Blogs,2021-08-28T06:30:03Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
47,3,8335,7,Quân đội hỗ trợ oxy y tế cho các bệnh viện chống dịch | VTV4,People & Blogs,2021-08-28T05:30:01Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
26,1,7049,0,Phó Thủ tướng Vũ Đức Đam kiểm tra phòng chống dịch Covid-19 tại Long An | VTV4,People & Blogs,2021-08-28T04:30:03Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
2,3,1190,0,NĂNG LƯỢNG TÍCH CỰC TRONG MÙA DỊCH – CULTURE MOSAIC 27/08/2021 | VTV4,People & Blogs,2021-08-28T04:08:49Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
73,14,12242,15,CHỦ ĐỘNG GIÚP DÂN TRONG GIAN KHÓ| VTV4,People & Blogs,2021-08-28T03:52:41Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
18,4,5389,0,Thủ tướng Phạm Minh Chính kiểm tra phòng chống dịch tại Bình Dương | VTV4,People & Blogs,2021-08-28T03:50:06Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
2,2,1740,0,VTV News 8h - 28/08/2021| VTV4,People & Blogs,2021-08-28T03:37:48Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
7,1,3024,0,Le Journal - 28/08/2021| VTV4,People & Blogs,2021-08-28T03:20:19Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
4,2,1367,0,Программы на русском языке - 27/08/2021| VTV4,People & Blogs,2021-08-28T03:17:30Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
88,25,31478,0,Bản tin thời sự tiếng Việt 21h - 27/08/2021 | VTV4,People & Blogs,2021-08-27T15:26:37Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
16,2,2890,0,今日越南 - 27/08/2021 | VTV4,People & Blogs,2021-08-27T14:23:13Z,"['vietnam', 'vtv', 'vtv4', 'travel', 'Việt Nam']"
